S.No,Name,Channel,Slot,Prescale min,Prescale max,Scale min,Scale max,Pre Scale Values,,,,,Scale Values,,,,,PreScaled Unit,Scaled Unit
,,,,,,,,X1,X2,X3,X4,X5,Y1,Y2,Y3,Y4,Y5,,
125,ACC_2,ai25,Slot11,-5,5,-500,500,-5,-2.5,0,2.5,5,-500,-250,0,250,500,v,g
126,Acoustic 1,ai26,Slot11,-5,5,-50,50,-5,-2.5,0,2.5,5,-50,-25,0,25,50,v,g
127,Dynamic_Chamber_Pressure,ai27,Slot11,-10,10,-10,10,-10,-5,0,5,10,-10,-5,0,5,10,v,V
128,Acoustic 2,ai28,Slot11,-5,5,-50,50,-5,-2.5,0,2.5,5,-50,-25,0,25,50,v,g
129,Acoustic 3,ai29,Slot11,-5,5,-50,50,-5,-2.5,0,2.5,5,-50,-25,0,25,50,v,g
130,Acoustic 4,ai30,Slot11,-5,5,-50,50,-5,-2.5,0,2.5,5,-50,-25,0,25,50,v,g
131,Acoustic 5,ai31,Slot11,-5,5,-50,50,-5,-2.5,0,2.5,5,-50,-25,0,25,50,v,g
132,C_FM_9 FR,ai16,Slot9,0,10,0,9000,0,2.5,5,7.5,10,0,2250,4500,6750,9000,v,g/s
133,C_FM_9 FD,ai17,Slot9,0,10,0,1500,0,2.5,5,7.5,10,0,375,750,1125,1500,v,kg/m3
134,F_FM_39 FR,ai18,Slot9,0,10,0,10,0,2.5,5,7.5,10,0,2.5,5,7.5,10,v,kg/s
135,F_FM_39 FD,ai19,Slot9,0,10,0,1000,0,2.5,5,7.5,10,0,250,500,750,1000,v,kg/m3
136,LOAD CELL X,ai20,Slot9,0,10,-10000,10000,0,2.5,5,7.5,10,-10000,-5000,0,5000,10000,v,N
137,LOAD CELL Y,ai21,Slot9,0,10,-10000,10000,0,2.5,5,7.5,10,-10000,-5000,0,5000,10000,v,N
138,LOAD CELL Z,ai22,Slot9,0,10,-50000,50000,0,2.5,5,7.5,10,-50000,-25000,0,25000,50000,v,N
139,Spark Plug Feedback,ai29,Slot9,-10,10,-10,10,-10,-5,0,5,10,-10,-5,0,5,10,v,V
140,C_PT_18B,ai24,Slot9,0,10,0,100,0,2.5,5,7.5,10,0,25,50,75,100,v,Barg
